código;Material/produto;Quantidade na embalagem;Classificação;Tipo;
;Farinha de trigo;1KG;Cozinha;Não empréstimo;
;Farinha de trigo;5KG;Cozinha;Não empréstimo;
;Farinha de trigo com fermento;1KG;Cozinha;Não empréstimo;
;Feijão ;1KG;Cozinha;Não empréstimo;
;Feijão branco;500G;Cozinha;Não empréstimo;
;Feijão branco;500G;Cozinha;Não empréstimo;
;Feijão frodinho;500G;Cozinha;Não empréstimo;
;File de peito de frango;1KG;Cozinha;Não empréstimo;
;Fio de nilon;5M;Manutenção;Não empréstimo;
;Fita adesiva;1;Manutenção;Não empréstimo;
;Floral;5L;Limpeza ;Não empréstimo;
;Folhas para depilacão;16F;Higiene;Não empréstimo;
;Gasolina;5L;Manutenção;Não empréstimo;
;Gel fixador;1KG;Higiene;Não empréstimo;
;Gel para barba;750G;Higiene;Não empréstimo;
;Gel para barbear;300G;Higiene;Não empréstimo;
;Gelatina sem sabor;500G;Cozinha;Não empréstimo;
;Guardanapo;100U;Cozinha;Não empréstimo;
;Hidratante corpo e rosto;190ML;Higiene;Não empréstimo;
;Kit cilios;6;Higiene;Não empréstimo;
;Kit conterização;1;Escritório ;Não empréstimo;
;Kit descolorante banho de lua;5;Higiene;Não empréstimo;
;Kit pinceis de maquiagem;20;Higiene;Não empréstimo;
;Lamina de barbear;50U;Higiene;Não empréstimo;
;Lamina de ferro;1;Manutenção;Não empréstimo;
;Lapis de olho;1;Higiene;Não empréstimo;
;Lava louça;5L;Limpeza ;Não empréstimo;
;Lava louça;2,5L;Limpeza ;Não empréstimo;
;Lava louça;5L;Limpeza ;Não empréstimo;
;Lavadora;1;Manutenção;Não empréstimo;
;Leite;1L;Cozinha;Não empréstimo;
;Leite condensado;395G;Cozinha;Não empréstimo;
;Leite de coco;5ML;Cozinha;Não empréstimo;
;Leite integral;1L;Cozinha;Não empréstimo;
;Limpa pisos ;5L;Limpeza ;Não empréstimo;
;Limpa vidro;250ML;Limpeza ;Não empréstimo;
;Limpador multiuso ;500ML;Limpeza ;Não empréstimo;
;Limpador multiuso ;5L;Limpeza ;Não empréstimo;
;Linguiça;400G;Cozinha;Não empréstimo;
;Lixa de unha;5;Higiene;Não empréstimo;
;Locão amolecedora;1000ML;Higiene;Não empréstimo;
;Loção pre depilatoria;500ML;Higiene;Não empréstimo;
;Loção tonica equilibrante;365G;Higiene;Não empréstimo;
;Locção adstringente facial;200ML;Higiene;Não empréstimo;
;Luva de limpeza;2;Limpeza ;Não empréstimo;
;Maizena;1KG;Cozinha;Não empréstimo;
;Manteiga ;5L;Cozinha;Não empréstimo;
;Marcador para quadro branco;12;Escritório ;Não empréstimo;
;Margarina;1KG;Cozinha;Não empréstimo;
;Mascara facial;50;Higiene;Não empréstimo;
;Mascara reconstrutora capilar;1KG;Higiene;Não empréstimo;
;Mascara ultra calmante;200G;Higiene;Não empréstimo;
;Milho de pipoca;500G;Cozinha;Não empréstimo;
;Milho em conserva;170G;Cozinha;Não empréstimo;
;Milho verde;970G;Cozinha;Não empréstimo;
;Mini lixa;100;Higiene;Não empréstimo;
;Molho de tomate;300G;Cozinha;Não empréstimo;
;Molho de tomate;190G;Cozinha;Não empréstimo;
;Molho shoyu;9ML;Cozinha;Não empréstimo;
;Multiuso ;500ML;Limpeza ;Não empréstimo;
;mussarela;446G;Cozinha;Não empréstimo;
;Mussarela;3,5KG;Cozinha;Não empréstimo;
;Nanotecnologia acida;50ML;Higiene;Não empréstimo;
;Oleo de coco;30ML;Cozinha;Não empréstimo;
;Oleo mineral 2T;500ML;Manutenção;Não empréstimo;
;Oleo para massagem facial;300ML;Higiene;Não empréstimo;
;Oleo secante;120ML;Higiene;Não empréstimo;
;Pa de lixo;1;Limpeza ;Não empréstimo;
;Palito de cuticula;100;Higiene;Não empréstimo;
;Palito para churrasco;100;Cozinha;Não empréstimo;
;Palitos de lingua;100;N.C;Não empréstimo;
;Palmito;530G;Cozinha;Não empréstimo;
;Palmito;1,8KG;Cozinha;Não empréstimo;
;Pano de chão;5;Limpeza ;Não empréstimo;
;Pano de saco ;1;Limpeza ;Não empréstimo;
;Papel A4;500F;Escritório ;Não empréstimo;
;Papel aluminio;30CM;Cozinha;Não empréstimo;
;Papel aluminio;100M;Cozinha;Não empréstimo;
;Papel higienico ;12;Higiene;Não empréstimo;
;Papel higienico ;4R;Higiene;Não empréstimo;
;Papel higienico ;16;Higiene;Não empréstimo;
;Papel higienico ;16;Higiene;Não empréstimo;
;Papel higienico ;6R;Higiene;Não empréstimo;
;Papel toalha;2R;Cozinha;Não empréstimo;
;Papel toalha ;120F;Cozinha;Não empréstimo;
;Paprica doce;500MG;Cozinha;Não empréstimo;
;Paprica picante;250G;Cozinha;Não empréstimo;
;Paquimetro;1;N.C;Não empréstimo;
;Pente para maquina C.C;1;Higiene;Não empréstimo;
;Pinça;1;N.C;Não empréstimo;
;Piranha de cabelo;1;Higiene;Não empréstimo;
;Plastico filme;1;Cozinha;Não empréstimo;
;Po de café;500G;Cozinha;Não empréstimo;
;Po de café;500G;Cozinha;Não empréstimo;
;Po de café;500G;Cozinha;Não empréstimo;
;Po de café;500G;Cozinha;Não empréstimo;
;Po descolorante;300G;Higiene;Não empréstimo;
;Polvilho azedo;1KG;Cozinha;Não empréstimo;
;Polvilho doce;1KG;Cozinha;Não empréstimo;
;Polvilho doce;1KG;Cozinha;Não empréstimo;
;Pouvilho azedo;1KG;Cozinha;Não empréstimo;
;Prancha ceramica;;Escritório ;Não empréstimo;
;Prancha de cabelo;1;N.C;Não empréstimo;
;Queratina;120ML;Higiene;Não empréstimo;
;Queratina;300G;Higiene;Não empréstimo;
;Removedor de manchas e tintura;100M;Higiene;Não empréstimo;
;Removedor pos depilatorio;1;Higiene;Não empréstimo;
;Removedor pos depilatorio;120ML;Higiene;Não empréstimo;
;Reparador de pontas;1;Higiene;Não empréstimo;
;Rodo;1;Limpeza ;Não empréstimo;
;Sabão em barra;6;Limpeza ;Não empréstimo;
;Sabão em barra;5;Limpeza ;Não empréstimo;
;Sabonete em gel;300ML;Higiene;Não empréstimo;
;Sabonete hidratante ;30ML;Higiene;Não empréstimo;
;Saco de lixo;100;Limpeza ;Não empréstimo;
;Saco de lixo;100;Limpeza ;Não empréstimo;
;Saco de lixo;10;Limpeza ;Não empréstimo;
;Saco grande;42;Limpeza ;Não empréstimo;
;Saco para lixo;60L;Limpeza ;Não empréstimo;
;Sal;1KG;Cozinha;Não empréstimo;
;Sal;1KG;Cozinha;Não empréstimo;
;Sal grosso;1KG;Cozinha;Não empréstimo;
;Sal grosso;1KG;Cozinha;Não empréstimo;
;Salsicha;500G;Cozinha;Não empréstimo;
;Secador de cabelo;1;Escritório ;Não empréstimo;
;Secador de cabelo;1;N.C;Não empréstimo;
;Serum;50ML;Higiene;Não empréstimo;
;Shampoo;5L;Higiene;Não empréstimo;
;Shampoo;5L;Higiene;Não empréstimo;
;Spray secante esmalte;200G;Higiene;Não empréstimo;
;Suco;240G;Cozinha;Não empréstimo;
;Suco vilma;240G;Cozinha;Não empréstimo;
;Talco neutro ;400G;Higiene;Não empréstimo;
;Tinta de cabelo;45G;N.C;Não empréstimo;
;Tinta de cabelo;45G;N.C;Não empréstimo;
;Tinta de cabelo;45G;N.C;Não empréstimo;
;Tinta de cabelo;45G;N.C;Não empréstimo;
;Tinta de cabelo;45G;N.C;Não empréstimo;
;Tinta de cabelo;45G;N.C;Não empréstimo;
;Tinta de cabelo;45G;N.C;Não empréstimo;
;Tinta de cabelo;45G;N.C;Não empréstimo;
;Tinta de cabelo;1;N.C;Não empréstimo;
;Tinta de cabelo;2;N.C;Não empréstimo;
;Tinta de cabelo;1;N.C;Não empréstimo;
;Tinta de cabelo;1;N.C;Não empréstimo;
;Tinta de cabelo;2;N.C;Não empréstimo;
;Tinta de cabelo;1;N.C;Não empréstimo;
;Tinta de cabelo;1;N.C;Não empréstimo;
;Tinta de cabelo;1;N.C;Não empréstimo;
;Tinta de cabelo;1;N.C;Não empréstimo;
;Tinta de cabelo;1;N.C;Não empréstimo;
;Tinta de cabelo;1;N.C;Não empréstimo;
;Tinta de cabelo;1;N.C;Não empréstimo;
;Tinta de cabelo;1;N.C;Não empréstimo;
;Tonico purificante facial;500ML;Higiene;Não empréstimo;
;Touca de silicone;1;Higiene;Não empréstimo;
;Touca descartavel;100;Higiene;Não empréstimo;
;Touca descartavel;48;Higiene;Não empréstimo;
;Trigo para Kibe ;500G;Cozinha;Não empréstimo;
;Vassoura;;Limpeza ;Não empréstimo;
;Vassoura;3;Limpeza ;Não empréstimo;
;Veda clean ;50;Manutenção;Não empréstimo;
;Secante de esmalte ;400ML;N.C;Não empréstimo;
;Algodão;50G;Higiene;Não empréstimo;
;Palito de unha ;3;Higiene;Não empréstimo;
;Lixa de unha;100;Higiene;Não empréstimo;
;Acetona ;500ML;Higiene;Não empréstimo;
;Esmalte;8ML;N.C;Não empréstimo;
;Limpador multiuso ;500ML;Limpeza ;Não empréstimo;
;Papel higienico ;16;Higiene;Não empréstimo;
;Desinfetante;2L;Limpeza ;Não empréstimo;
;Agua sanitaria ;2L;Limpeza ;Não empréstimo;
;Sabão de bara;900G;Limpeza ;Não empréstimo;
;Detergente;500ML;Limpeza ;Não empréstimo;
;Papel carbono;50;Escritório ;Não empréstimo;
;Limpador multiuso ;500ML;Limpeza ;Não empréstimo;
;Buxa;1;Limpeza ;Não empréstimo;
;Saco de lixo ;100;Limpeza ;Não empréstimo;
;Papel toalha;1000;Higiene;Não empréstimo;
;Papel higienico ;12;Higiene;Não empréstimo;
;Margarina ;15KG;Cozinha;Não empréstimo;
;Arroz;5KG;Cozinha;Não empréstimo;
;Palito de madeira (estetica);100;Higiene;Não empréstimo;
;Tonalizante pink;100G;Higiene;Não empréstimo;
;Tinta de cabelo 2.11 / 1.0;45G;N.C;Não empréstimo;
;Maquiagem;;N.C;Não empréstimo;
;Creme vitamina C;30G;N.C;Não empréstimo;
;Po descolorante;500G;N.C;Não empréstimo;
;Loçao de limpeza facial;200ML;N.C;Não empréstimo;
;Serum;30ML;N.C;Não empréstimo;
;Folha depilatoria;16;N.C;Não empréstimo;
;Ativador de cachos;1L;N.C;Não empréstimo;
;Talco neutro ;400G;Higiene;Não empréstimo;
;Pinça ;1;N.C;Não empréstimo;
;Lamina de barbear;8;N.C;Não empréstimo;
;Creme facial;200G;N.C;Não empréstimo;
;Cilios;10;N.C;Não empréstimo;
;Henna;3,5G;N.C;Não empréstimo;
;Loçao pos depilatoria;1L;N.C;Não empréstimo;
;Luva descartavel;100;Higiene;Não empréstimo;
;Mascara facial;50;N.C;Não empréstimo;
;Oleo removedor;240ML;N.C;Não empréstimo;
;Cera depilatoria;100G;N.C;Não empréstimo;
;Folha depilatoria;16;N.C;Não empréstimo;
;Sabonete liquido;200ML;Higiene;Não empréstimo;
;Esfoliante;220G;Higiene;Não empréstimo;
;Agua micelar;200ML;Higiene;Não empréstimo;
;Cola para cilios;7G;N.C;Não empréstimo;
;Pinceis de maquiagem;3;N.C;Não empréstimo;
;Microporosa;10M;Higiene;Não empréstimo;
;Pote pequeno;1;N.C;Não empréstimo;
;Lixa de unha;100;Higiene;Não empréstimo;
;Creme hidratante;120G;Higiene;Não empréstimo;
;Oleo de banana;100ML;Higiene;Não empréstimo;
;Esmalte de unha;8ML;N.C;Não empréstimo;
;Primer;30mML;N.C;Não empréstimo;
;Eyelash maker;1;N.C;Não empréstimo;
;Shampoo;5L;Higiene;Não empréstimo;
;Condicionador;5L;Higiene;Não empréstimo;
;Leite;1L;Cozinha;Não empréstimo;
;Pano de chão;15;Limpeza ;Não empréstimo;
;Lençol ospitalar;50M;Higiene;Não empréstimo;
;Coletor de materiais perfurantes;2;Escritório ;Não empréstimo;
;Palha de aço;6;N.C;Não empréstimo;
;Agua sanitaria ;5L;Limpeza ;Não empréstimo;
;Detergente neutro;5L;Limpeza ;Não empréstimo;
;Alcool 70%;4.5L;Higiene;Não empréstimo;
;Desinfetante;5L;Limpeza ;Não empréstimo;
;Mascara hidroplastica ;250G;N.C;Não empréstimo;
;Loção tonica equilibrante;365ML;Higiene;Não empréstimo;
;Creme esfoliante;200G;N.C;Não empréstimo;
;Amolecedor de cuticulas;500ML;N.C;Não empréstimo;
;Creme hidratante;200G;N.C;Não empréstimo;
;Nanotecnologia acida;50ML;N.C;Não empréstimo;
