código;Material/produto;Quantidade na embalagem;Classificação;Tipo;
;Feijão branco;500G;Cozinha;Não empréstimo;
;Feijão fradinho;500G;Cozinha;Não empréstimo;
;Castanha de caju;1KG;Cozinha;Não empréstimo;
;Gengibre em po;500G;Cozinha;Não empréstimo;
;Pimenta calabresa;25G;Cozinha;Não empréstimo;
;Maionese;1KG;Cozinha;Não empréstimo;
;Chimishurri sem pimenta;500G;Cozinha;Não empréstimo;
;Castanha do para;500G;Cozinha;Não empréstimo;
;Óleo de cozinha;1L;Cozinha;Não empréstimo;
;Ovos ;720;Cozinha;Não empréstimo;
;Camarão seco;500g;Cozinha;Não empréstimo;
;Plastico filme;30m ;Cozinha;Não empréstimo;
;Folha de alga marinha ;10;Cozinha;Não empréstimo;
;Pimenta Siria;250g;N.C;Não empréstimo;
;Fermento quimico;1k;Cozinha;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
;;;N.C;Não empréstimo;
